Name,Year,Actors
Where the Truth Lies,1999,"Marlee Matlin, Regina King, Linden Ashby, Brian McNamara, Robert Blanche, Philip Lester, Susan Walters, Bruce Burkhartsmeier, Jonathan Farwell, Betty Moyer"
Striptease,1996,"Demi Moore, Burt Reynolds, Armand Assante, Ving Rhames, Robert Patrick, Rumer Willis, Paul Guilfoyle, Robert Stanton, Jerry Grayson, William Hill, Stuart Pankin, PaSean Wilson, Dina Spybey, Pandora Peaks, Rena Riffel, Kimberly Flynn, Siobhan Fallon Hogan, Gary Basaraba, Barbara Alyn Woods, Matt Baron, Gianni Russo, José Zúñiga, Anthony Jones, Eduardo Yáñez, Antoni Corone, Frances Fisher, Teddy Bergman, Louis Seeger Crume, Aymee Garcia, Deborah Magdalena, Keone Young, Brad Grunberg, Anthony Giaimo, Jerry Pacific, Anna Lobell, Diane Adams, Chad Ayers, April Sharpe, Maria Genero, Keith Blaney, Marc Chaykin, Edward Goldstein, Christi Bauerle, Yoshi Obata, Tony Toyoda, Scott Oughterson, Darreck Crane, Ted Niarhos Jr., Marco Assante, Christopher Carrington, Edge, Paul Anthony Reynolds, Claudio Sad, Tammi Sutton, Steve Warren, Carl White"
White Squall,1996,"Ryan Phillippe, Scott Wolf, Balthazar Getty, Jeremy Sisto, Jeff Bridges, John Savage, Jason Marsden, Eric Michael Cole, Caroline Goodall, David Lascher, David Selby, Julio Oscar Mechoso, Željko Ivanek, Ethan Embry, Jordan Clarke, Lizbeth MacKay, Jill Larson, James Medina, James Rebhorn, Nicole Ann Samuel, Becky Ann Baker, Camilla Overbye Roos, Nathaniel Ives, Chris Condon, Andrew Hartley, Peyton Thomas, Jordan Scott, Anja Clausen, Nynne Christiansen, Anita Weider, Charlotte Anderson, Emily Chittell, Lene Kristensen, Mette Hocke, Charles Parshley, Scott Wolf, John Savage"
The Hunt for the Unicorn Killer,1999,"Naomi Watts, Tom Skerritt, Kim Schraner, Kim Poirier, Kevin Anderson, Susan Coyne, Martin Donovan, Kristin Booth, Brian Kerwin, Gregory Itzin, Ruben Santiago-Hudson, Kellie Overbey, Albert Schultz"
Behind the Mask,1999,"Bradley Whitford, Donald Sutherland, Mary McDonnell, Matthew Fox, Currie Graham, Ty Olsson, Dillon Moen, Lorena Gale, Sheila Larken, Jennifer Clement, Ron Sauvé, Deanna Williams, Damon Johnson, Peter James Bryant, Kim Hawthorne"
SugarTime,1995,"Mary-Louise Parker, John Turturro, Deborah Duchêne, Maury Chaykin, Elias Koteas, Richard Blackburn, Louis Del Grande, Christopher Barry, Larissa Laskin, Amanda Blitz"
Her Desperate Choice,1996,"Kyle Secor, Faith Ford, Nigel Bennett, Alex Carter, Mimi Kuzyk, Jackie Richardson, Lynne Cormack, Martin Roach, Corinne Conley, Hanna R. Hall, Philip Williams, Deborah Grover, Vickie Papavs, Christina Collins, David Huband, Ann-Marie MacDonald, Douglas O'Keeffe, Michael J. Reynolds"
The Versace Murder,1998,"Steven Bauer, Franco Nero, Matt Servitto, Shane Perdue, David Wolfson, Oscar Torre, David Anthony Pizzuto, Renny Roker, Dania Deville, Pablo Durán, Ken Blanck"
Vibrations,1996,"Christina Applegate, James Marshall, David Burke, Steven Keats, Scott Cohen, Bruce Altman, Faye Grant, Paige Turco"
Lover's Prayer,1999,"Nick Stahl, Kirsten Dunst, Julie Walters, Nathaniel Parker, James Fox, Geraldine James, Kenny Doughty, Paloma Baeza"
Earthly Possessions,1999,"Stephen Dorff, Susan Sarandon, Eva Amurri, Elisabeth Moss, Phoebe Lapine, Anna Menken, Marge Redmond, Danielle Ferland, Marialisa Costanzo, William Hill"
Once and Future Queen,2000,"Eric Sapp, Sara Blasi, Brenda Velez, Kid Congo Powers, Tia Sprocket, Rich Fowler"
Catherine the Great,1995,"Catherine Zeta-Jones, Paul McGann, Tim McInnerny, Jeanne Moreau, Brian Blessed, Craig McLachlan, John Rhys-Davies, Karl Johnson, Omar Sharif, Ian Richardson, Mel Ferrer, Horst Frank, Hannes Jaenicke, Veronica Ferres, Agnès Soral, Mark McGann, Stephen McGann"
Princess in Love,1996,"Christopher Bowen, Julie Cox, Christopher Villiers"
No More Baths,1998,"Victoria Jackson, Clayton Taylor, Garrett M. Brown, Jim Mapp, S.A. Griffin, Carlton Bluford, Andreas Michael Lamelas, Sparky Mortimer, Haley McCormick"
Red Dirt,2000,"Aleksa Palladino, Glenn Shadix, Karen Black, John Mese, Dan Montgomery Jr., Peg O'Keef, Walton Goggins"
Route 9,1998,"Peter Coyote, Kyle MacLachlan, Miguel Sandoval, Amy Locane, Wade Williams, Roma Maffia, Silas Weir Mitchell, Joseph D. Reitman, Scott Coffey"
Deep Trouble,2000,"John Canada Terrell, Lenny Varnedoe, Count Stovall"
One Take,1999,"Sasha Graham, Kevin Orton, Jamison Selby"
Blood and Tears,1999,"Angel Aviles, David Dyno Rocha, Ed Quiroz, Cesar Herrera, John Vigil, Leanna Rocha, Jose Quiroz, Sam McBride"
One Man's Hero,1999,"Tom Berenger, Stephen Tobolowsky, James Gammon, Joaquim de Almeida, Carlos Carrasco, Mark Moses, Daniela Romo, Stuart Graham, Gregg Fitzgerald, Don Wycherley, Wolf Muser, Luke Hayden, Ilia Volok, Patrick Bergin, Dermot Martin, Alek Carrera"
The Visit,2000,"Hill Harper, Billy Dee Williams, Obba Babatunde, Rae Dawn Chong, Marla Gibbs, Phylicia Rashād, Talia Shire, Jascha Washington, Kirk Acevedo, Glynn Turman, David Clennon, Jennifer Freeman, Amy Stiller"
Possums,1998,"Cynthia Sikes, Mac Davis, Jay Underwood, Dennis Burkley, Clive Revill, Greg Coolidge, Andrew Prine, Jerry Haynes, David Hunt Stafford, Rodney Lay, Nathan Burgess, Kyle Moody"
Deceiver,1997,"Ellen Burstyn, Renée Zellweger, Tim Roth, Chris Penn, Rosanna Arquette, Michael Rooker, Michael Parks, Mark Damon, Paul Smith, J. C. Quinn, Don Winston"
Lethal Vows,1999,"Marg Helgenberger, John Ritter, Madeline Zima, Miko Hughes, Lawrence Dane, Megan Gallagher, Jessica Bowman, Brenda Bazinet, Sandra Caldwell"
The Patron Saint of Liars,1998,"Dana Delany, Ellen Burstyn, Sada Thompson, Clancy Brown, Maggie Gyllenhaal, Lisa Rieffel, Marissa Ribisi, Debra Christofferson, John Putch, Nancy Moore Atchison, Jill Gascoine"
The Last Days of Frankie the Fly,1996,"Dennis Hopper, Daryl Hannah, Kiefer Sutherland, Dayton Callie, Jack McGee, Adam Scott, Karen Roe, Bert Rosario, Michael Madsen, Charles Carroll, Jon Ross, Vanessa Ann Giorgio, David ""Shark"" Fralick, Jana Robbins, Nicholas Mele, Paul Vent, George Russo, Frankie J. Allison"
In the Blink of an Eye,1996,"Veronica Hamel, Mimi Rogers, Brian Markinson, Polly Bergen, Jeffrey Dean Morgan, Denise Richards, Dan Diliberto, Carlos Gómez"
The Devil's Arithmetic,1999,"Kirsten Dunst, Brittany Murphy, Louise Fletcher, Mimi Rogers, Paul Freeman, Daniel Brocklebank, Caterina Scorsone, Shelly Skandrani"
Nightfall,2000,"David Carradine, Joseph Hodge"
Bring Him Home,2000,"Ed Asner, Jeffrey Licon, Sharon Gless, George Buck Flower, Noah Blake, Lucy Butler, Kate Asner"
What the Deaf Man Heard,1997,"James Earl Jones, Matthew Modine, Frankie Muniz, Tom Skerritt, Bernadette Peters, Jerry O'Connell, Lance Reddick, Judith Ivey"
Love Beat the Hell Outta Me,2000,"Glenn Plummer, Terrence Howard, Clyde Jones, Shay Best, Charles R. Penland, Kristen Andreotti, Tricia Cruz, Kimeyo Daniels, Somalia Goldsby, Jay King, Julissa Marquez, Rodger Reed, Phoenix Rivera, Raven Williams, Alexsandra Wright"
Hollywood Confidential,1997,"Edward James Olmos, Valarie Rae Miller, Charlize Theron, Sarah Lassez, Richard T. Jones, Brendan Kelly, Kristen Dalton, Rick Aiello, Angela Alvarado, Christine Harnos, Anthony Yerkovich, Evelina Fernandez"
The Only Thrill,1997,"Diane Keaton, Robert Patrick, Diane Lane, Sam Shepard, Tate Donovan, Sharon Lawrence, Brad Leland, Stacey Travis"
A Little Princess,1995,"Liesel Pritzker Simmons, Eleanor Bron, Liam Cunningham, Camilla Belle, Heather DeLoach, Vanessa Lee Chester, Rachael Bella, Arthur Malet, Rusty Schwimmer, Kelsey Mulrooney, Liam Cunningham, Errol Sitahal, Taylor Fry, Darcie Bradford, Alexandra Rea-Baum, Lauren Blumenfeld, Kaitlin Cullum, Alison Moir, Time Winters, Lomax Study, Vincent Schiavelli, Pushpa Rawal, Rahi Azizi, Ken Palmer, Helen Greenberg, Norman Merrill, Peggy Miley, Bob Cohen, Will Blomquist, David Fresco, Judith Drake, Chris Ellis, Jonás Cuarón, Juliana Harkavy, Jack Holland, London Vale, Sandeep Walia"
Persuasion,1995,"Amanda Root, Ciarán Hinds, Susan Fleetwood, Corin Redgrave, Fiona Shaw, Phoebe Nicholls, Samuel West, Simon Russell Beale, Victoria Hamilton, Sophie Thompson, John Woodvine, Judy Cornwell, Felicity Dean, Roger Hammond, Emma Roberts, Robert Glenister, Richard McCabe, Helen Schlesinger, Jane Wood, David Collings, Darlene Johnson, Cinnamon Faye, Isaac Maxwell-Hunt, Roger Llewellyn, Sally George, David Acton, Justin Avoth, Lonnie James, Roger Watkins, David Plummer, Richard Brenner, Bill McGuirk, Niall Refoy, Ken Shorter, Dermot Kerrigan, Tom Rigby, Alex Wilman, Rosa Mannion"
Slam,1998,"Sonja Sohn, Saul Williams, Beau Sia, Marc Levin, Bonz Malone, Andre Taylor, Momolu Stewart, Lawrence Wilson, Ron Jones, Reamer Shedrick, Allan E. Lucas, Dominic Chianese Jr., Jerome Goldman, DJ Renegade, Liza Jessie Peterson, Taylor Mali, Bob Holman, Rhozier Brown, Richard Stratton, Marion Barry, Weusi Baraka, Eddie Black, Harry Campbell, Robert Philson, Daniel M. Favors, Johnny Foye, Jesse Hicks, Carolyn Morris, Leonard Thompson Jr., Todd Baker, Joseph A. Wilson, Talib Watson, Kevin Kennedy, Donnell Robinson"
American Psycho,2000,"Christian Bale, Josh Lucas, Jared Leto, Reese Witherspoon, Justin Theroux, Willem Dafoe, Samantha Mathis, Chloë Sevigny, Reg E. Cathey, Cara Seymour, Somaya Reece, Stephen Bogaert, Monika Meier, Matt Ross, Bill Sage, Guinevere Turner"
Path to Paradise: The Untold Story of the World Trade Center Bombing,1997,"Marcia Gay Harden, Peter Gallagher, Andreas Katsulas, Paul Guilfoyle, Shaun Toub, Art Malik, Mike Starr, Ned Eisenberg, Mike O'Malley"
A Stranger in the Kingdom,1999,"Ernie Hudson, Henry Gibson, Martin Sheen, Carrie Snodgress, Jean Louisa Kelly, Tom Aldredge, Sean Nelson, Larry Pine, Jordan Bayne, Bill Raymond, Rusty DeWees, George Dickerson, Renée Estevez, David Lansbury"
Ed McBain's 87th Precinct: Lightning,1995,"Alex McArthur, Randy Quaid, Ving Rhames, Eddie Jones, Ron Perkins, Johann Carlo, Tracy Middendorf, Steve Park, Mary-Joan Negro, Alan Blumenfeld, Alison Moir, Steven Flynn"
Flowers for Algernon,2000,"Matthew Modine, Ron Rifkin, Bonnie Bedelia, Kelli Williams, Richard Fitzpatrick, Richard Chevolleau, Jeff Pustil, Cameron Bowen, Gloria Slade, Ken James"
Naked Jane,1995,"Caveh Zahedi, Stefan Walker, Michelle Bronson, Renee Stahl, Tamar Reingewirtz, Catherine Chambaret, Michael Kaliski, Peta Wilson, Laura Burnett, Natasha Sarraf, Karen Musette"
Sign of the Otter,1995,"J. Christian Ingvordsen, Dan Haggerty, Ryan Washburn, Jacqueline Konx, Rick Washburn, John Weiner"
Wild Flower,1999,"Chris Hoffman, Tamie Sheffield, Kristina Estlund, Dean Stapleton, C.C. Costigan, Kim Little"
Cyberella: Forbidden Passions,1996,"Landon Hall, Kevin Patrick Walls, Daniel Namath, David Millbern, Debra K. Beatty, Shayna Lee, Marshall Hilliard, Rebecca Taylor"
Getting Off,1998,"Brooke Smith, Amy Ryan, Garret Dillahunt, Bill Sage, Tom Gilroy, David Marshall Grant, Christine Harnos"
To Die For,1995,"Nicole Kidman, Matt Dillon, Joaquin Phoenix, Kurtwood Smith, Wayne Knight, George Segal, Michael Rispoli, Illeana Douglas, Dan Hedaya, Alison Folland, Casey Affleck, Buck Henry, Rain Phoenix, Maria Tucci, Susan Traylor, Holland Taylor, Tim Hopper"
The Hunter's Moon,1999,"Burt Reynolds, Charles Napier, Brion James, Keith Carradine, Ann Wedgeworth, Hayley DuMond, Andrew Hawkes, 'Wild' Bill Mock, Pat Hingle, Willie C. Carpenter, Lee Dupree, April Grace, Jim Wilkey, Eve Sadof, Kate Barclay"
A Question of Faith,2000,"Bernard Hill, Naveen Andrews, Joe Spano, Martha Hackett, Michael Cudlitz, Paul Guilfoyle, Brent Hinkley, Cassie Kaser, Randy Oglesby, David Thornton"
America's Dream,1996,"Wesley Snipes, Danny Glover, Carl Lumbly, Susanna Thompson, Tate Donovan, Lorraine Toussaint, Tina Lifford, Jasmine Guy, Norman D. Golden II, Vanessa Bell Calloway"
The General's Daughter,1999,"John Travolta, Madeleine Stowe, James Cromwell, Timothy Hutton, James Woods, Leslie Stefanson, Peter Weireter, Clarence Williams III, Daniel von Bargen, Mark Boone Junior, John Beasley, Boyd Kestner, Brad Beyer, John Benjamin Hickey, Rick Dial, Ariyan A. Johnson, John Frankenheimer, Katrina vanden Heuvel, Chris Snyder, Steve Danton, Rich Jackson, Joshua Stafford, Darius Cottrell, Scott Rosenberg, Jared Chandler, Jim Morse, Paul Ware, Mark Ivie, Michael Swiney, Tait Ruppert, Lisa A. Tripp, James O. Evans, Chris Grayson, Sy Leopold, Fred Tate, Steve Goyen, Pablo Espinosa, Levin Handy Jr., Jason M. Luevano, Gustavo A. Perdomo, Rodney Mitchell, Ryan D. Kirkland, Michael Gerald, Matthew R. Anderson, Cooper Huckabee, Kelly Casey, Kyle Casey, Timothy 'TJ' James Driscoll, Brent Miller, Ty Williams"
Park Day,1998,"Monica Calhoun, Hill Harper, Darius McCrary, Brock Peters, Sydney Tamiia Poitier, Jaqueline Fleming, Lande Scott, Sonya Hensley, Edwin Morrow, Henry Calvin, Jared Rowles, Kelvin Brown, Arthur Tolliver, Alan Arrivée, Ron Canada, Glen Evans, Stacy Michelle"
Gift of Love,1999,"Debbie Reynolds, Elden Henson, Ed Marinaro, Allegra Denton, John Bourgeois, Dan MacDonald, Michael McLachlan, Dan Petronijevic, Jenafor Ryane, Stephanie Anne Mills, Francesca Scorsone, Gwynyth Walsh, Maria Ricossa, Gary Fruchtman, Marcia Diamond"
Blue River,1995,"Sam Elliott, Jerry O'Connell, Patrick Renna, Neal McDonough, Nick Stahl, Susan Dey, Jean Marie Barnwell, Rebecca Rogers, Lorri Lindberg, Merritt Wever"
Bang,1996,"El Timo, King Jeff"
The Second Coming,1995,Jeff Constan
Windhorse,1998,"Dadon, Jampa Kelsang, Yu Lu, Richard Chang, Taije Silverman"
Bonanno: A Godfather's Story,1999,"Patti LuPone, Robert Loggia, Zachary Bennett, Costas Mandylor, Bruce Ramsay, Tony Nardi, Guido Grasso Jr., Tony Calabretta, Edward James Olmos, Jessica Paré, Martin Landau"
In a Class of His Own,1999,"Joan Chen, Lou Diamond Phillips, David Kaye, Cara Buono, A. J. Buckley, Karin Konoval, Tom McBeath, Alonso Oyarzun, Nathaniel DeVeaux, James Hutson"
Blast,2000,"Blake Heron, Liesel Pritzker Simmons, Ed Lauter, Jeanine Jackson, Adam LaVorgna, P. J. Soles, Tracey Walter, Denis Arndt, Tony Denman"
A Dog of Flanders,1999,"Jeremy James Kissner, Jack Warden, Cheryl Ladd, Jon Voight, Madylin Sweeten, Bruce McGill, Jesse James, Michel Vanderlinden, James Garde, Dirk Lavryssen, Deborah Pollitt, Farren Monet Daniels, Steven Hartley"
The Piano Lesson,1995,"Alfre Woodard, Rosalyn Coleman, Courtney B. Vance, Zelda Harris, Charles S. Dutton, Tommy Lafitte, Lynne Innerst, Tommy Hollis, Carl Gordon"
Freedom Song,2000,"Jason Weaver, Vicellous Reon Shannon, Glynn Turman, Danny Glover, John Beasley, Vondie Curtis-Hall, Michael Jai White, Stan Shaw, David Strathairn, Loretta Devine, Rae'Ven Larrymore Kelly"
Steal This Movie!,2000,"Jeanne Tripplehorn, Donal Logue, Janeane Garofalo, Vincent D'Onofrio, Kevin Pollak, Kevin Corrigan, Alan van Sprang, Troy Garity, Ingrid Veninger, Stephen Marshall, Joyce Gordon, Bernard Kay, Johnie Chase, Shawn Lawrence, Kent Staines, Ken Kramer, David Eisner, Todd Kozan, Panou, Timm Zemanek, Keith Jones, Marc Aubin, Chad Willett, Michael Cera"
Fail Safe,2000,"George Clooney, Richard Dreyfuss, Don Cheadle, Hank Azaria, Grant Heslov, Tommy Hinkley, John Diehl, James Cromwell, Norman Lloyd, Brian Dennehy, Doris Belack, Sam Elliott, Harvey Keitel, Bill Smitrovich, Noah Wyle"
Angels in the Endzone,1997,"Paul Dooley, Matthew Lawrence, David Gallagher, Christopher Lloyd, Jack Coleman, Lynda Boyd, Allan Zinyk"
Land of the Free,1998,"Jeff Speakman, William Shatner, Charles Robinson, Larry Cedar, Lisa Darr, John Furey, Robert Torti, Chris Lemmon"
In the Lake of the Woods,1996,"Peter Boyle, Richard Anderson, Steve Bacic, Kathleen Quinlan, Hrothgar Mathews, Chilton Crane, Brent Stait, Ken Pogue, Peter Strauss, Pamela Perry, Stephen E. Miller"
Blue Ridge Fall,1999,"Peter Facinelli, Amy Irving, Brent Jennings, Heather Stephens, Chris Isaak, Rodney Eastman, Will Estes, Jay R. Ferguson, Tom Arnold, Stephen Rippey"
"A Gun, a Car, a Blonde",1997,"Kay Lenz, Jim Metzler, John Ritter, Paula Marshall, Billy Bob Thornton, Andrea Thompson, Norma Maldonado, Victor Love, Paul Parducci"
Uncorked,1998,"Nigel Hawthorne, Minnie Driver, Michael E. Rodgers, Greg Grunberg, Jim Beaver, Keone Young, Gregory Sporleder, Amelia Heinle, Elizabeth Tsing, Chalvay Srichoom, Rufus Sewell, Minnie Driver"
Drowning on Dry Land,1999,"Naveen Andrews, Barbara Hershey, Carol Lynley, Nigel John Taylor, John Doe, Stephen Polk, Siri Baruc"
Ricky Nelson: Original Teen Idol,1999,"Sara Botsford, Peter Oldring, Nicky Guadagni, Katie Griffin, Jamey Sheridan, Anthony Lemke, Tara Rosling, Anne Openshaw, Chris Loane, Larissa Laskin, Booth Savage, Gregory Calpakis"
The Jack Bull,1999,"John Goodman, Dick Cusack, John C. McGinley, Miranda Otto, John Cusack, John Savage, Drake Bell, Glenn Morshower, Kurt Fuller, L. Q. Jones, Rex Linn, Rodney A. Grant"
River Red,1998,"David Moscow, Tom Everett Scott, Denis O'Hare, Cara Buono, Michael Kelly, Peter Anthony Tambakis, Leo Burmester, Michael Angarano, Marcia DeBonis, James Murtaugh, Tibor Feldman, David Lowery, Andrew Van Dusen, Christopher Cantwell"
Neil Simon's Jake's Women,1996,"Anne Archer, Alan Alda, Mira Sorvino, Julie Kavner, Hynden Walch, Joyce Van Patten, Kimberly Williams-Paisley, Yul Vazquez, Ashley Peldon, Lolita Davidovich, Aasif Mandvi, Perry Anzilotti"
Follow the River,1995,"Ellen Burstyn, Sheryl Lee, Gabriel Macht, Jimmie F. Skaggs, Tim Guinee, Renee O'Connor, Eric Schweig, Tony Amendola, Juddson Keith Linn, Graeme Malcolm, Tyler Noyes, Andrew Stahl, Sammy D. Miller"
Origin of the Species,1998,"Jean Louisa Kelly, Amanda Peet, Elon Gold, Jonathan LaPaglia, Michael Kelly, Sybil Temchen"
The Haunting of Hell House,1999,"Michael York, Jason Cottle, Andrew Bowen, Claudia Christian, Ciaran Davies, Brian Glanney, Colm Ó Maonlaí"
The Night Larry Kramer Kissed Me,2000,David Drake
Kyoko,2000,"Scott Whitehurst, Mauricio Bustamante, Bradford West, Oscar Colon, Saki Takaoka, Masayuki Shida, Patricia Alvarez, Alexander Varona Marrero, Humberto Gettys, Bill Stitt, Marylyn Bishop, Michael Feigin, Jay Baez, Al Lopez, Fatima Da Silva, Carlos Osorio"
Eban and Charley,2000,"Ron Upton, Drew Zeller, Brent Fellows, Nolan Chard, Giovanni Andrade, Ellie Nicholson, Pam Munter"
Without Limits,1998,"Jeremy Sisto, Donald Sutherland, Billy Crudup, Monica Potter, Matthew Lillard, William Mapother, Billy Burke, Dean Norris, Amy Jo Johnson, Katharine Towne, Lisa Banes"
Hidden in America,1996,"Jena Malone, Bruce Davison, Alice Krige, Beau Bridges, Jeff Bridges, Frances McDormand, Dan Petronijevic, Allegra Denton, Josef Sommer, Nick Johne, Shelton Dane"
Sea People,1999,"Hume Cronyn, Shawn Roberts, Cedric Smith, Don McKellar, Janet Kidder, Tegan Moss, Ron Lea, Joan Gregson"
The Game of Death,2000,"David Morrissey, Jonathan Pryce, Paul Bettany, Neil Stuke, Catherine Siggins, Terry McMahon, Regan Hutchinson, Eamon Glancy, Frank Melia, Eamon Draper"
An Ice Cream Show,1996,Rick Sebak
Lolita,1997,"Jeremy Irons, Melanie Griffith, Dominique Swain, Frank Langella, Michael Goodwin, Suzanne Shepherd, Angela Paton, Erin Dean, Ed Grady, Ben Silverstone, Emma Griffiths Malin, Keith Reddin, Joan Glover, Pat Pierre Perkins, Ronald Pickup"
Carrington,1995,"Jeremy Northam, Emma Thompson, Jonathan Pryce, Steven Waddington, Samuel West, Rufus Sewell, Penelope Wilton, Janet McTeer, Peter Blythe, Alex Kingston, Sebastian Harcombe, Richard Clifford, David Ryall, Stephen Boxer, Annabel Mullion, Gary Turner, Georgiana Dacombe, Helen Blatch, Neville Phillips"
Absolute Power,1997,"Clint Eastwood, Gene Hackman, Ed Harris, Laura Linney, Scott Glenn, Dennis Haysbert, Judy Davis, Richard Jenkins, Melora Hardin, E. G. Marshall, Penny Johnson, Mark Margolis, Elaine Kagan, Kenneth Welsh, Alison Eastwood, Yau-Gene Chan, George Orrison, Charles McDaniel, John Lyle Campbell, Kimber Lynn Eastwood, Eric Dahlquist Jr., Jack Stewart Taylor, Joy Ehrlich, Robert Harvey"
Pete's a Pizza,2000,"John Lithgow, Chevy Chase"
Uninvited Guest,1999,"Mari Morrow, Mekhi Phifer, Mel Jackson, Malinda Williams, Wanya Morris"
Dying to Belong,1997,"Gregory Alan Williams, Isabella Hofmann, Tracy Middendorf, Jenna von Oÿ, Mark-Paul Gosselaar, Laurel Holloman, Hilary Swank, Jennifer Warren, Sarah Chalke"
Agnes Browne,1999,"Roxanna Nic Liam, Ray Winstone, Anjelica Huston, Marion O'Dwyer, Carl Power, Gareth O'Connor, Ciaran Owens"
I'm Bout It,1997,"Master P, Helen Martin, Mack 10, Silkk the Shocker, Mia X, C-Murder"
Eye of the Beholder,2000,"Ashley Judd, Jason Priestley, Patrick Bergin, Geneviève Bujold, Ewan McGregor, k.d. lang, Anne-Marie Brown, Kaitlin Brown, David Nerman, Steven McCarthy, Vlasta Vrána, Janine Theriault, Don Jordan, Maria Revelins, Lisa Forget, Gayle Garfinkle, Russell Yuen, Stephane Levasseur, Al Vandecruys, Sam Stone, Mauro Venditelli, Josa Maule, Carole Collin, Stephanie Sbrega, Philip Le Maistre, Michel Perron, Maria Bircher, Howard Bilerman, Cara Reynolds, Leonard Farlinger, Jason Baerg, Michelle Sweeney, Donovan Reiter, Amanda Davis, Carl Crevier, Erwin Goldberg, Garth Gilker, James Hieminga, Robert Brewster, Charles Powell, Thomas Karle, Louis Negin, Al Clark, Una Kay, Merlee Shapiro, Vera Miller, Nadia Rona, Erik Johnson, John Teodoro"
Luckytown,2000,"Vincent Kartheiser, Kirsten Dunst, Luis Guzmán, Theresa Russell, Robert Miano, James Caan"
The Prime Gig,2000,"Vince Vaughn, Ed Harris, Julia Ormond, Rory Cochrane, Christina Cabot, Stephen Tobolowsky, George Wendt, Romany Malco, Amber Benson, Wallace Shawn"
Race Against Time: The Search for Sarah,1996,"Patty Duke, Richard Crenna, Steve Eastin, Jon Gries, Katy Boyer, Caitlin Wachs, Missy Crider, Jill Novick, Ele Keats"
Magdalen,1998,"Suzanne B. Repasky, Moira Rankin, Alix D. Smith, Nathan Hopson, David Semonin, Jace Gaffney, Phil Hooven, Andrew Repasky McElhinney"
The Corndog Man,1999,Noble Willingham
Waterproof,1999,"Burt Reynolds, April Grace, Ja'net Du Bois, Orlando Jones, Cordereau Dye, Whitman Mayo, Leland L. Jones, Joe Inscoe"
Let the Devil Wear Black,1999,"Mary-Louise Parker, Jacqueline Bisset, Jonathan Penner, Chris Sarandon, Philip Baker Hall, Joanna Gleason, Randall Batinkoff, Maury Chaykin, Jonathan Banks, Jamey Sheridan, Norman Reedus, Thomas F. Duffy, Brooke Taylor, Jeffrey Schoeny"
"First, Last and Deposit",2000,"Don Margolin, Robin Alcorn, Sara Wilcox, Alison Coutts-Jordon, Alanna Learned"
Loser,1996,"Peta Wilson, Kirk Harris, Jonathon Chaus, Norman Saleet, Jack Rubio, Brian Keith Allen, Lisa Wegner"
Magic in the Water,1995,"Mark Harmon, Joshua Jackson, Harley Jane Kozak, Mark Acheson, Frank Salsedo, Morris Panych, Sarah Wayne, Ben Cardinal, Adrien Dorval, Willie Nark-Orn, Anthony Towe, John Procaccino, Tom Cavanagh, Garrett Bennett, Brian T. Finney, David Rasche, Tamsin Kelsey, Benjamin Ratner, Lesley Ewen, Will Sasso, Teryl Rothery, Norma Jean Wick, Nathan Begg, Phillip Baer, Peter Baer, Elise Wayne, Cole Halleran, Shane Meier"
The Velocity of Gary,1999,"Thomas Jane, Ethan Hawke, Vincent D'Onofrio, Salma Hayek, Olivia d'Abo, Chad Lindberg, Danny Arroyo, Elizabeth D'Onofrio"
Running from the Shadows,2000,"Daniel Anderson, Adrian Zmed, Elizabeth Harrier, Nur Nur Cummings, Kristin Cary, Matthew Pollino"
The Song of Hiawatha,1997,"Graham Greene, David Strathairn, Litefoot, Michael Rooker, Russell Means, Irene Bedard, Gordon Tootoosis, Adam Beach, Raoul Trujillo, Sheila Tousey, Vern Harper, Flint Eagle, Adrian Jamieson, Mike Kanentakeron, Peter Kelly Gaudreault, Tina Louise Bomberry"
The Moving of Sophia Myles,2000,"Rue McClanahan, Della Reese, Earle Hyman, Kate Greenhouse, Yannick Bisson, Robert Tinkler, John Beasley, Tim Post, Greg Spottiswood"
The Setting Son,1997,"Brion James, Nancy Sullivan, Beau Billingslea, Jason James Richter, Lily Rains, Darin Cooper, Robin Stapler, Will Schaub, Tyler Patton, Maureen Muldoon, Candace Lifson, Dave Oliver, Tania-Lee Bayliss, Blake Beltram, Franca Benvenuto"
Second Chances,1998,"Madeline Zima, Stuart Whitman, Charles Shaughnessy, Tom Amandes, Isabel Glasser, Charles Napier, Terry Moore, Theodore Bikel, Hans Howes, Kelsey Mulrooney, Erica Hess, Allan Miller, Grant Cramer, Lee Benton, Jesse L. Upchurch, Jerry Rivers, Gwendolyn Upchurch, Bryan Peele, Robert Howard, Alexandra Cramer, Kendrick Hughes, Paul Cruz"
The Keeper,1995,"Regina Taylor, Giancarlo Esposito, Isaach de Bankolé, Alvaleta Guess, Ron Brice, O. L. Duke, Shiek Mahmud-Bey, Victor Colicchio, Arthur French, Sam E. Wright"
Ed McBain's 87th Precinct: Heatwave,1997,"Erika Eleniak, Dale Midkiff, Paul Ben-Victor, Michael Gross, Ian D. Clark, Stevie Vallance, Paul Johansson, Andrea Ferrell, Marc Gomes"
Marquis De Sade: Intimate Tales of the Dark Prince,1996,"Nick Mancuso, John Rhys-Davies, Janet Gunn, Charlotte Nielsen"
Hendrix,2000,"Billy Zane, Wood Harris, Vivica A. Fox, Dorian Harewood, Leah Miller"
